entry_id,candidate_id,candidate_name,candidate_label,record_type,review_reason,source_type,source_url,evidence_quote,evidence_quote_context,evidence_level,last_verified_date,review_status,notes
gpt-image-1,gpt-image-1,GPT Image 1,A2,model_version,review_status,official_api_docs,https://developers.openai.com/api/docs/models/gpt-image-1,accepts both text and image inputs,Official model page states that GPT Image 1 accepts text and image inputs and produces image outputs.,E0,2026-05-31,needs_review,Official model page; API/product separation requires human review.
flux-1-kontext-dev,flux-1-kontext-dev,FLUX.1 Kontext [dev],A2,model_version,review_status,official_model_card,https://huggingface.co/black-forest-labs/FLUX.1-Kontext-dev,capable of editing images based on text instructions,Official model card states FLUX.1 Kontext dev can edit images based on text instructions.,E0,2026-05-31,needs_review,Official model card; family/version placement requires human review.
flux-1-fill-dev,flux-1-fill-dev,FLUX.1 Fill [dev],A2,model_version,review_status,official_model_card,https://huggingface.co/black-forest-labs/FLUX.1-Fill-dev,filling areas in existing images based on a text description,Official model card states FLUX.1 Fill dev fills areas in existing images from text descriptions.,E0,2026-05-31,needs_review,Official model card; related but distinct from Kontext.
stable-diffusion-2-inpainting,stable-diffusion-2-inpainting,Stable Diffusion 2 Inpainting,A2,model_version,review_status,official_model_card,https://huggingface.co/stabilityai/stable-diffusion-2-inpainting,generate and modify images based on text prompts,Official model card states stable-diffusion-2-inpainting is trained using masked image conditioning.,E0,2026-05-31,needs_review,Official model card evidence; source page may require HF access review.
stable-diffusion-xl-base-1-0,stable-diffusion-xl-base-1-0,Stable Diffusion XL Base 1.0,A1,model_version,review_status,official_model_card,https://huggingface.co/stabilityai/stable-diffusion-xl-base-1.0,generate and modify images based on text prompts,Official model card states SDXL base can be used to generate and modify images from text prompts.,E0,2026-05-31,needs_review,Official model card; edit route may be implementation-dependent.
stable-diffusion-xl-refiner-1-0,stable-diffusion-xl-refiner-1-0,Stable Diffusion XL Refiner 1.0,B,model_version,review_status,official_model_card,https://huggingface.co/stabilityai/stable-diffusion-xl-refiner-1.0,further processed with a refinement model,Official model card describes the refiner as part of the SDXL ensemble of experts pipeline.,E0,2026-05-31,needs_review,Refiner should not be treated as independent local editing family without human decision.
qwen-image-edit,qwen-image-edit,Qwen-Image-Edit,A2,model_version,review_status,official_model_card,https://huggingface.co/Qwen/Qwen-Image-Edit,can also directly edit Chinese posters,Official model card describes Qwen-Image-Edit examples for English and Chinese text editing.,E0,2026-05-31,needs_review,Official model card; exact family/version relationship requires review.
seededit,seededit,SeedEdit,A1,model_family,review_status,paper,https://seed.bytedance.com/public_papers/seededit-align-image-re-generation-to-image-editing,able to revise a given image with any text prompt,Official paper page introduces SeedEdit as a diffusion model for revising a given image.,E1,2026-05-31,needs_review,Official paper page; availability and runnable implementation unknown.
google-imagen-edit-api,google-imagen-edit-api,Google Imagen Editing API,A2,product_feature,review_status,official_api_docs,https://docs.cloud.google.com/vertex-ai/generative-ai/docs/model-reference/imagen-api-edit,image assets for Imagen to edit,Official docs describe referenceImages as image assets for Imagen to edit.,E2,2026-05-31,needs_review,Product/API feature; must not become independent model family.
gemini-image-editing,gemini-image-editing,Gemini API image editing,A2,API_wrapper,review_status,official_api_docs,https://ai.google.dev/gemini-api/docs/image-generation,"add, remove, or modify elements","Official docs describe Image plus Text-to-Image editing for adding, removing, or modifying elements.",E2,2026-05-31,needs_review,API wrapper/product feature; underlying model mapping needs review.
adobe-firefly-fill-api,adobe-firefly-fill-api,Adobe Firefly Fill Image API,A2,product_feature,review_status,official_api_docs,https://developer.adobe.com/firefly-services/docs/firefly-api/guides/how-tos/firefly-fill-image-api-tutorial,Generatively edit specific areas of an image,Official tutorial describes generatively editing specific areas of an image with Fill Image API.,E2,2026-05-31,needs_review,Product/API feature; must not be counted as independent model family.
runway-gen4-image-api,runway-gen4-image-api,Runway Gen-4 Image API,B,API_wrapper,review_status,release_note,https://runwayml.com/news/introducing-runway-api-for-gen-4-images,"Gen-4 Image, including References, available via the Runway API",Official announcement says Gen-4 Image and References are available via the Runway API.,E2,2026-05-31,needs_review,API evidence only; local editing suitability unknown.
flux-kontext-third-party-apis,flux-kontext-third-party-apis,FLUX.1 Kontext third-party API availability,X,API_wrapper,review_status;excluded_or_unknown,official_model_card,https://huggingface.co/black-forest-labs/FLUX.1-Kontext-dev,available via API from the following sources,Official model card states FLUX.1 Kontext dev can edit images based on text instructions.,E0,2026-05-31,needs_review,Excluded from model family count; wrapper/API availability only.
replicate-predictions-api,replicate-predictions-api,Replicate Predictions API,X,API_wrapper,review_status;excluded_or_unknown,official_api_docs,https://replicate.com/docs/topics/predictions,predictions as API objects for running models and tracking status inputs outputs and metrics,"Official Replicate docs describe predictions as API objects for running models and tracking status, inputs, outputs, and metrics.",E2,2026-05-31,needs_review,Provider API evidence only; does not establish model capability or availability.
replicate-official-models,replicate-official-models,Replicate official models,X,API_wrapper,review_status;excluded_or_unknown,official_api_docs,https://replicate.com/docs/topics/models/official-models,official models and provider-maintained model API usage,Official Replicate docs describe official models and provider-maintained model API usage.,E2,2026-05-31,needs_review,Provider documentation evidence only; individual provider model mappings remain needs_review.
