candidate_id,candidate_name,candidate_label,record_type,review_reason,source_url,evidence_quote,evidence_level,last_verified_date,notes
gpt-image-1,GPT Image 1,A2,model_version,review_status,https://developers.openai.com/api/docs/models/gpt-image-1,accepts both text and image inputs,E0,2026-05-31,Official model page; API/product separation requires human review.
flux-1-kontext-dev,FLUX.1 Kontext [dev],A2,model_version,review_status,https://huggingface.co/black-forest-labs/FLUX.1-Kontext-dev,capable of editing images based on text instructions,E0,2026-05-31,Official model card; family/version placement requires human review.
flux-1-fill-dev,FLUX.1 Fill [dev],A2,model_version,review_status,https://huggingface.co/black-forest-labs/FLUX.1-Fill-dev,filling areas in existing images based on a text description,E0,2026-05-31,Official model card; related but distinct from Kontext.
stable-diffusion-2-inpainting,Stable Diffusion 2 Inpainting,A2,model_version,review_status,https://huggingface.co/stabilityai/stable-diffusion-2-inpainting,generate and modify images based on text prompts,E0,2026-05-31,Official model card evidence; source page may require HF access review.
stable-diffusion-xl-base-1-0,Stable Diffusion XL Base 1.0,A1,model_version,review_status,https://huggingface.co/stabilityai/stable-diffusion-xl-base-1.0,generate and modify images based on text prompts,E0,2026-05-31,Official model card; edit route may be implementation-dependent.
stable-diffusion-xl-refiner-1-0,Stable Diffusion XL Refiner 1.0,B,model_version,review_status,https://huggingface.co/stabilityai/stable-diffusion-xl-refiner-1.0,further processed with a refinement model,E0,2026-05-31,Refiner should not be treated as independent local editing family without human decision.
qwen-image-edit,Qwen-Image-Edit,A2,model_version,review_status,https://huggingface.co/Qwen/Qwen-Image-Edit,can also directly edit Chinese posters,E0,2026-05-31,Official model card; exact family/version relationship requires review.
seededit,SeedEdit,A1,model_family,review_status,https://seed.bytedance.com/public_papers/seededit-align-image-re-generation-to-image-editing,able to revise a given image with any text prompt,E1,2026-05-31,Official paper page; availability and runnable implementation unknown.
google-imagen-edit-api,Google Imagen Editing API,A2,product_feature,review_status,https://docs.cloud.google.com/vertex-ai/generative-ai/docs/model-reference/imagen-api-edit,image assets for Imagen to edit,E2,2026-05-31,Product/API feature; must not become independent model family.
gemini-image-editing,Gemini API image editing,A2,API_wrapper,review_status,https://ai.google.dev/gemini-api/docs/image-generation,"add, remove, or modify elements",E2,2026-05-31,API wrapper/product feature; underlying model mapping needs review.
adobe-firefly-fill-api,Adobe Firefly Fill Image API,A2,product_feature,review_status,https://developer.adobe.com/firefly-services/docs/firefly-api/guides/how-tos/firefly-fill-image-api-tutorial,Generatively edit specific areas of an image,E2,2026-05-31,Product/API feature; must not be counted as independent model family.
runway-gen4-image-api,Runway Gen-4 Image API,B,API_wrapper,review_status,https://runwayml.com/news/introducing-runway-api-for-gen-4-images,"Gen-4 Image, including References, available via the Runway API",E2,2026-05-31,API evidence only; local editing suitability unknown.
flux-kontext-third-party-apis,FLUX.1 Kontext third-party API availability,X,API_wrapper,review_status;excluded_or_unknown,https://huggingface.co/black-forest-labs/FLUX.1-Kontext-dev,available via API from the following sources,E0,2026-05-31,Excluded from model family count; wrapper/API availability only.
